n,lower_bound,ffd_bins_mean,sa_bins_mean,ffd_time_mean,sa_time_mean,ffd_gap_pct,sa_gap_pct
10,3,3.8,3.6,2.5720000849105418e-05,0.02204960000090068,26.66666666666666,20.000000000000004
20,6,7.2,7,7.985999836819246e-05,0.036887019999267065,20.000000000000004,16.666666666666668
40,12,13.8,13.4,0.00022261999693000688,0.07666400000016438,15.000000000000005,11.66666666666667
80,23,25,25,0.0007567000022390858,0.16916139999957522,8.695652173913043,8.695652173913043
150,42,46.8,46.6,0.0022458999999798836,0.41074351999995995,11.428571428571422,10.952380952380954
